"Notes"	"Residence County"	"Residence County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths
	"Hamilton County, TN"	"47065"	"35-44 years"	"35-44"	32
	"Hamilton County, TN"	"47065"	"45-54 years"	"45-54"	69
	"Hamilton County, TN"	"47065"	"55-64 years"	"55-64"	176
	"Hamilton County, TN"	"47065"	"65-74 years"	"65-74"	255
	"Hardeman County, TN"	"47069"	"55-64 years"	"55-64"	23
	"Hardeman County, TN"	"47069"	"65-74 years"	"65-74"	24
	"Hardin County, TN"	"47071"	"55-64 years"	"55-64"	26
	"Hardin County, TN"	"47071"	"65-74 years"	"65-74"	31
	"Hawkins County, TN"	"47073"	"45-54 years"	"45-54"	19
	"Hawkins County, TN"	"47073"	"55-64 years"	"55-64"	44
	"Hawkins County, TN"	"47073"	"65-74 years"	"65-74"	57
	"Haywood County, TN"	"47075"	"55-64 years"	"55-64"	14
	"Haywood County, TN"	"47075"	"65-74 years"	"65-74"	29
	"Henderson County, TN"	"47077"	"55-64 years"	"55-64"	24
	"Henderson County, TN"	"47077"	"65-74 years"	"65-74"	29
	"Henry County, TN"	"47079"	"45-54 years"	"45-54"	11
	"Henry County, TN"	"47079"	"55-64 years"	"55-64"	31
	"Henry County, TN"	"47079"	"65-74 years"	"65-74"	29
	"Hickman County, TN"	"47081"	"55-64 years"	"55-64"	15
	"Hickman County, TN"	"47081"	"65-74 years"	"65-74"	28
	"Humphreys County, TN"	"47085"	"55-64 years"	"55-64"	16
	"Humphreys County, TN"	"47085"	"65-74 years"	"65-74"	19
	"Jackson County, TN"	"47087"	"55-64 years"	"55-64"	17
	"Jackson County, TN"	"47087"	"65-74 years"	"65-74"	18
	"Jefferson County, TN"	"47089"	"55-64 years"	"55-64"	33
	"Jefferson County, TN"	"47089"	"65-74 years"	"65-74"	62
	"Johnson County, TN"	"47091"	"55-64 years"	"55-64"	11
	"Johnson County, TN"	"47091"	"65-74 years"	"65-74"	20
	"Knox County, TN"	"47093"	"35-44 years"	"35-44"	25
	"Knox County, TN"	"47093"	"45-54 years"	"45-54"	75
	"Knox County, TN"	"47093"	"55-64 years"	"55-64"	186
	"Knox County, TN"	"47093"	"65-74 years"	"65-74"	291
	"Lauderdale County, TN"	"47097"	"55-64 years"	"55-64"	24
	"Lauderdale County, TN"	"47097"	"65-74 years"	"65-74"	19
	"Lawrence County, TN"	"47099"	"45-54 years"	"45-54"	12
	"Lawrence County, TN"	"47099"	"55-64 years"	"55-64"	35
	"Lawrence County, TN"	"47099"	"65-74 years"	"65-74"	45
	"Lincoln County, TN"	"47103"	"55-64 years"	"55-64"	22
	"Lincoln County, TN"	"47103"	"65-74 years"	"65-74"	45
	"Loudon County, TN"	"47105"	"45-54 years"	"45-54"	10
	"Loudon County, TN"	"47105"	"55-64 years"	"55-64"	21
	"Loudon County, TN"	"47105"	"65-74 years"	"65-74"	34
	"McMinn County, TN"	"47107"	"45-54 years"	"45-54"	20
	"McMinn County, TN"	"47107"	"55-64 years"	"55-64"	31
	"McMinn County, TN"	"47107"	"65-74 years"	"65-74"	58
	"McNairy County, TN"	"47109"	"55-64 years"	"55-64"	20
	"McNairy County, TN"	"47109"	"65-74 years"	"65-74"	39
	"Macon County, TN"	"47111"	"55-64 years"	"55-64"	15
	"Macon County, TN"	"47111"	"65-74 years"	"65-74"	23
	"Madison County, TN"	"47113"	"45-54 years"	"45-54"	18
	"Madison County, TN"	"47113"	"55-64 years"	"55-64"	66
	"Madison County, TN"	"47113"	"65-74 years"	"65-74"	98
	"Marion County, TN"	"47115"	"55-64 years"	"55-64"	32
	"Marion County, TN"	"47115"	"65-74 years"	"65-74"	28
	"Marshall County, TN"	"47117"	"55-64 years"	"55-64"	20
	"Marshall County, TN"	"47117"	"65-74 years"	"65-74"	33
	"Maury County, TN"	"47119"	"45-54 years"	"45-54"	17
	"Maury County, TN"	"47119"	"55-64 years"	"55-64"	32
	"Maury County, TN"	"47119"	"65-74 years"	"65-74"	78
	"Meigs County, TN"	"47121"	"65-74 years"	"65-74"	19
	"Monroe County, TN"	"47123"	"55-64 years"	"55-64"	24
	"Monroe County, TN"	"47123"	"65-74 years"	"65-74"	38
	"Montgomery County, TN"	"47125"	"45-54 years"	"45-54"	23
	"Montgomery County, TN"	"47125"	"55-64 years"	"55-64"	61
	"Montgomery County, TN"	"47125"	"65-74 years"	"65-74"	126
	"Morgan County, TN"	"47129"	"55-64 years"	"55-64"	14
	"Morgan County, TN"	"47129"	"65-74 years"	"65-74"	20
	"Obion County, TN"	"47131"	"55-64 years"	"55-64"	26
	"Obion County, TN"	"47131"	"65-74 years"	"65-74"	40
	"Overton County, TN"	"47133"	"55-64 years"	"55-64"	13
	"Overton County, TN"	"47133"	"65-74 years"	"65-74"	17
	"Polk County, TN"	"47139"	"55-64 years"	"55-64"	11
	"Polk County, TN"	"47139"	"65-74 years"	"65-74"	25
	"Putnam County, TN"	"47141"	"45-54 years"	"45-54"	15
	"Putnam County, TN"	"47141"	"55-64 years"	"55-64"	31
	"Putnam County, TN"	"47141"	"65-74 years"	"65-74"	52
	"Rhea County, TN"	"47143"	"55-64 years"	"55-64"	21
	"Rhea County, TN"	"47143"	"65-74 years"	"65-74"	37
	"Roane County, TN"	"47145"	"45-54 years"	"45-54"	13
	"Roane County, TN"	"47145"	"55-64 years"	"55-64"	41
	"Roane County, TN"	"47145"	"65-74 years"	"65-74"	56
	"Robertson County, TN"	"47147"	"45-54 years"	"45-54"	15
	"Robertson County, TN"	"47147"	"55-64 years"	"55-64"	31
	"Robertson County, TN"	"47147"	"65-74 years"	"65-74"	91
	"Rutherford County, TN"	"47149"	"35-44 years"	"35-44"	19
	"Rutherford County, TN"	"47149"	"45-54 years"	"45-54"	45
	"Rutherford County, TN"	"47149"	"55-64 years"	"55-64"	105
	"Rutherford County, TN"	"47149"	"65-74 years"	"65-74"	118
	"Scott County, TN"	"47151"	"45-54 years"	"45-54"	11
	"Scott County, TN"	"47151"	"55-64 years"	"55-64"	32
	"Scott County, TN"	"47151"	"65-74 years"	"65-74"	29
	"Sevier County, TN"	"47155"	"35-44 years"	"35-44"	12
	"Sevier County, TN"	"47155"	"45-54 years"	"45-54"	15
	"Sevier County, TN"	"47155"	"55-64 years"	"55-64"	46
	"Sevier County, TN"	"47155"	"65-74 years"	"65-74"	69
	"Shelby County, TN"	"47157"	"35-44 years"	"35-44"	90
	"Shelby County, TN"	"47157"	"45-54 years"	"45-54"	205
	"Shelby County, TN"	"47157"	"55-64 years"	"55-64"	443
	"Shelby County, TN"	"47157"	"65-74 years"	"65-74"	665
	"Smith County, TN"	"47159"	"55-64 years"	"55-64"	13
	"Smith County, TN"	"47159"	"65-74 years"	"65-74"	18
	"Stewart County, TN"	"47161"	"55-64 years"	"55-64"	12
	"Stewart County, TN"	"47161"	"65-74 years"	"65-74"	13
	"Sullivan County, TN"	"47163"	"35-44 years"	"35-44"	11
	"Sullivan County, TN"	"47163"	"45-54 years"	"45-54"	51
	"Sullivan County, TN"	"47163"	"55-64 years"	"55-64"	129
	"Sullivan County, TN"	"47163"	"65-74 years"	"65-74"	160
	"Sumner County, TN"	"47165"	"35-44 years"	"35-44"	18
	"Sumner County, TN"	"47165"	"45-54 years"	"45-54"	33
	"Sumner County, TN"	"47165"	"55-64 years"	"55-64"	87
	"Sumner County, TN"	"47165"	"65-74 years"	"65-74"	120
	"Tipton County, TN"	"47167"	"55-64 years"	"55-64"	25
	"Tipton County, TN"	"47167"	"65-74 years"	"65-74"	71
	"Trousdale County, TN"	"47169"	"65-74 years"	"65-74"	12
	"Unicoi County, TN"	"47171"	"65-74 years"	"65-74"	27
	"Union County, TN"	"47173"	"55-64 years"	"55-64"	15
	"Union County, TN"	"47173"	"65-74 years"	"65-74"	18
	"Warren County, TN"	"47177"	"45-54 years"	"45-54"	13
	"Warren County, TN"	"47177"	"55-64 years"	"55-64"	32
	"Warren County, TN"	"47177"	"65-74 years"	"65-74"	42
	"Washington County, TN"	"47179"	"35-44 years"	"35-44"	11
	"Washington County, TN"	"47179"	"45-54 years"	"45-54"	25
	"Washington County, TN"	"47179"	"55-64 years"	"55-64"	51
	"Washington County, TN"	"47179"	"65-74 years"	"65-74"	97
	"Weakley County, TN"	"47183"	"55-64 years"	"55-64"	21
	"Weakley County, TN"	"47183"	"65-74 years"	"65-74"	30
	"White County, TN"	"47185"	"45-54 years"	"45-54"	12
	"White County, TN"	"47185"	"55-64 years"	"55-64"	23
	"White County, TN"	"47185"	"65-74 years"	"65-74"	31
	"Williamson County, TN"	"47187"	"45-54 years"	"45-54"	14
	"Williamson County, TN"	"47187"	"55-64 years"	"55-64"	26
	"Williamson County, TN"	"47187"	"65-74 years"	"65-74"	61
	"Wilson County, TN"	"47189"	"45-54 years"	"45-54"	30
	"Wilson County, TN"	"47189"	"55-64 years"	"55-64"	56
	"Wilson County, TN"	"47189"	"65-74 years"	"65-74"	102
	"Anderson County, TX"	"48001"	"45-54 years"	"45-54"	11
	"Anderson County, TX"	"48001"	"55-64 years"	"55-64"	22
	"Anderson County, TX"	"48001"	"65-74 years"	"65-74"	56
	"Andrews County, TX"	"48003"	"65-74 years"	"65-74"	14
	"Angelina County, TX"	"48005"	"45-54 years"	"45-54"	35
	"Angelina County, TX"	"48005"	"55-64 years"	"55-64"	32
	"Angelina County, TX"	"48005"	"65-74 years"	"65-74"	80
	"Aransas County, TX"	"48007"	"55-64 years"	"55-64"	18
	"Aransas County, TX"	"48007"	"65-74 years"	"65-74"	16
	"Atascosa County, TX"	"48013"	"55-64 years"	"55-64"	33
	"Atascosa County, TX"	"48013"	"65-74 years"	"65-74"	49
	"Austin County, TX"	"48015"	"65-74 years"	"65-74"	20
	"Bandera County, TX"	"48019"	"55-64 years"	"55-64"	12
	"Bandera County, TX"	"48019"	"65-74 years"	"65-74"	26
	"Bastrop County, TX"	"48021"	"45-54 years"	"45-54"	17
	"Bastrop County, TX"	"48021"	"55-64 years"	"55-64"	38
	"Bastrop County, TX"	"48021"	"65-74 years"	"65-74"	48
	"Bee County, TX"	"48025"	"55-64 years"	"55-64"	14
	"Bee County, TX"	"48025"	"65-74 years"	"65-74"	17
	"Bell County, TX"	"48027"	"35-44 years"	"35-44"	21
	"Bell County, TX"	"48027"	"45-54 years"	"45-54"	60
	"Bell County, TX"	"48027"	"55-64 years"	"55-64"	117
	"Bell County, TX"	"48027"	"65-74 years"	"65-74"	176
	"Bexar County, TX"	"48029"	"35-44 years"	"35-44"	104
	"Bexar County, TX"	"48029"	"45-54 years"	"45-54"	287
	"Bexar County, TX"	"48029"	"55-64 years"	"55-64"	628
	"Bexar County, TX"	"48029"	"65-74 years"	"65-74"	964
	"Bosque County, TX"	"48035"	"55-64 years"	"55-64"	16
	"Bosque County, TX"	"48035"	"65-74 years"	"65-74"	19
	"Bowie County, TX"	"48037"	"35-44 years"	"35-44"	10
	"Bowie County, TX"	"48037"	"45-54 years"	"45-54"	22
	"Bowie County, TX"	"48037"	"55-64 years"	"55-64"	63
	"Bowie County, TX"	"48037"	"65-74 years"	"65-74"	122
	"Brazoria County, TX"	"48039"	"35-44 years"	"35-44"	22
	"Brazoria County, TX"	"48039"	"45-54 years"	"45-54"	49
	"Brazoria County, TX"	"48039"	"55-64 years"	"55-64"	142
	"Brazoria County, TX"	"48039"	"65-74 years"	"65-74"	176
	"Brazos County, TX"	"48041"	"45-54 years"	"45-54"	24
	"Brazos County, TX"	"48041"	"55-64 years"	"55-64"	52
	"Brazos County, TX"	"48041"	"65-74 years"	"65-74"	90
	"Brooks County, TX"	"48047"	"65-74 years"	"65-74"	14
	"Brown County, TX"	"48049"	"45-54 years"	"45-54"	12
	"Brown County, TX"	"48049"	"55-64 years"	"55-64"	26
	"Brown County, TX"	"48049"	"65-74 years"	"65-74"	48
	"Burleson County, TX"	"48051"	"55-64 years"	"55-64"	11
	"Burleson County, TX"	"48051"	"65-74 years"	"65-74"	26
	"Burnet County, TX"	"48053"	"55-64 years"	"55-64"	18
	"Burnet County, TX"	"48053"	"65-74 years"	"65-74"	33
	"Caldwell County, TX"	"48055"	"55-64 years"	"55-64"	12
	"Caldwell County, TX"	"48055"	"65-74 years"	"65-74"	28
	"Calhoun County, TX"	"48057"	"65-74 years"	"65-74"	17
	"Callahan County, TX"	"48059"	"65-74 years"	"65-74"	13
	"Cameron County, TX"	"48061"	"35-44 years"	"35-44"	27
	"Cameron County, TX"	"48061"	"45-54 years"	"45-54"	64
	"Cameron County, TX"	"48061"	"55-64 years"	"55-64"	121
	"Cameron County, TX"	"48061"	"65-74 years"	"65-74"	217
	"Camp County, TX"	"48063"	"65-74 years"	"65-74"	13
	"Cass County, TX"	"48067"	"45-54 years"	"45-54"	11
	"Cass County, TX"	"48067"	"55-64 years"	"55-64"	27
	"Cass County, TX"	"48067"	"65-74 years"	"65-74"	32
	"Chambers County, TX"	"48071"	"65-74 years"	"65-74"	30
	"Cherokee County, TX"	"48073"	"55-64 years"	"55-64"	25
	"Cherokee County, TX"	"48073"	"65-74 years"	"65-74"	55
	"Clay County, TX"	"48077"	"65-74 years"	"65-74"	14
	"Collin County, TX"	"48085"	"35-44 years"	"35-44"	27
	"Collin County, TX"	"48085"	"45-54 years"	"45-54"	96
	"Collin County, TX"	"48085"	"55-64 years"	"55-64"	152
	"Collin County, TX"	"48085"	"65-74 years"	"65-74"	261
	"Colorado County, TX"	"48089"	"55-64 years"	"55-64"	11
	"Colorado County, TX"	"48089"	"65-74 years"	"65-74"	22
	"Comal County, TX"	"48091"	"45-54 years"	"45-54"	18
	"Comal County, TX"	"48091"	"55-64 years"	"55-64"	53
	"Comal County, TX"	"48091"	"65-74 years"	"65-74"	90
	"Comanche County, TX"	"48093"	"55-64 years"	"55-64"	10
	"Comanche County, TX"	"48093"	"65-74 years"	"65-74"	18
	"Cooke County, TX"	"48097"	"55-64 years"	"55-64"	16
	"Cooke County, TX"	"48097"	"65-74 years"	"65-74"	40
	"Coryell County, TX"	"48099"	"45-54 years"	"45-54"	11
	"Coryell County, TX"	"48099"	"55-64 years"	"55-64"	18
	"Coryell County, TX"	"48099"	"65-74 years"	"65-74"	33
	"Dallas County, TX"	"48113"	"35-44 years"	"35-44"	154
	"Dallas County, TX"	"48113"	"45-54 years"	"45-54"	359
	"Dallas County, TX"	"48113"	"55-64 years"	"55-64"	807
	"Dallas County, TX"	"48113"	"65-74 years"	"65-74"	1119
	"Dawson County, TX"	"48115"	"65-74 years"	"65-74"	11
	"Denton County, TX"	"48121"	"35-44 years"	"35-44"	18
	"Denton County, TX"	"48121"	"45-54 years"	"45-54"	67
	"Denton County, TX"	"48121"	"55-64 years"	"55-64"	169
	"Denton County, TX"	"48121"	"65-74 years"	"65-74"	253
	"DeWitt County, TX"	"48123"	"65-74 years"	"65-74"	13
	"Duval County, TX"	"48131"	"65-74 years"	"65-74"	12
	"Eastland County, TX"	"48133"	"55-64 years"	"55-64"	12
	"Eastland County, TX"	"48133"	"65-74 years"	"65-74"	22
	"Ector County, TX"	"48135"	"45-54 years"	"45-54"	16
	"Ector County, TX"	"48135"	"55-64 years"	"55-64"	60
	"Ector County, TX"	"48135"	"65-74 years"	"65-74"	86
	"Ellis County, TX"	"48139"	"45-54 years"	"45-54"	20
	"Ellis County, TX"	"48139"	"55-64 years"	"55-64"	64
	"Ellis County, TX"	"48139"	"65-74 years"	"65-74"	107
	"El Paso County, TX"	"48141"	"35-44 years"	"35-44"	31
	"El Paso County, TX"	"48141"	"45-54 years"	"45-54"	91
	"El Paso County, TX"	"48141"	"55-64 years"	"55-64"	191
	"El Paso County, TX"	"48141"	"65-74 years"	"65-74"	352
	"Erath County, TX"	"48143"	"55-64 years"	"55-64"	10
	"Erath County, TX"	"48143"	"65-74 years"	"65-74"	27
	"Falls County, TX"	"48145"	"65-74 years"	"65-74"	16
	"Fannin County, TX"	"48147"	"55-64 years"	"55-64"	22
	"Fannin County, TX"	"48147"	"65-74 years"	"65-74"	43
	"Fayette County, TX"	"48149"	"55-64 years"	"55-64"	14
	"Fayette County, TX"	"48149"	"65-74 years"	"65-74"	18
	"Fort Bend County, TX"	"48157"	"35-44 years"	"35-44"	28
	"Fort Bend County, TX"	"48157"	"45-54 years"	"45-54"	71
	"Fort Bend County, TX"	"48157"	"55-64 years"	"55-64"	157
	"Fort Bend County, TX"	"48157"	"65-74 years"	"65-74"	266
	"Freestone County, TX"	"48161"	"55-64 years"	"55-64"	13
	"Freestone County, TX"	"48161"	"65-74 years"	"65-74"	22
	"Frio County, TX"	"48163"	"65-74 years"	"65-74"	12
	"Gaines County, TX"	"48165"	"65-74 years"	"65-74"	11
	"Galveston County, TX"	"48167"	"35-44 years"	"35-44"	28
	"Galveston County, TX"	"48167"	"45-54 years"	"45-54"	49
	"Galveston County, TX"	"48167"	"55-64 years"	"55-64"	128
	"Galveston County, TX"	"48167"	"65-74 years"	"65-74"	241
	"Gillespie County, TX"	"48171"	"65-74 years"	"65-74"	21
	"Gonzales County, TX"	"48177"	"55-64 years"	"55-64"	11
	"Gonzales County, TX"	"48177"	"65-74 years"	"65-74"	14
	"Gray County, TX"	"48179"	"55-64 years"	"55-64"	12
	"Gray County, TX"	"48179"	"65-74 years"	"65-74"	22
	"Grayson County, TX"	"48181"	"45-54 years"	"45-54"	18
	"Grayson County, TX"	"48181"	"55-64 years"	"55-64"	61
	"Grayson County, TX"	"48181"	"65-74 years"	"65-74"	106
	"Gregg County, TX"	"48183"	"35-44 years"	"35-44"	21
	"Gregg County, TX"	"48183"	"45-54 years"	"45-54"	36
	"Gregg County, TX"	"48183"	"55-64 years"	"55-64"	66
	"Gregg County, TX"	"48183"	"65-74 years"	"65-74"	132
	"Grimes County, TX"	"48185"	"55-64 years"	"55-64"	17
	"Grimes County, TX"	"48185"	"65-74 years"	"65-74"	33
	"Guadalupe County, TX"	"48187"	"35-44 years"	"35-44"	12
	"Guadalupe County, TX"	"48187"	"45-54 years"	"45-54"	25
	"Guadalupe County, TX"	"48187"	"55-64 years"	"55-64"	48
	"Guadalupe County, TX"	"48187"	"65-74 years"	"65-74"	86
	"Hale County, TX"	"48189"	"55-64 years"	"55-64"	10
	"Hale County, TX"	"48189"	"65-74 years"	"65-74"	22
	"Hardin County, TX"	"48199"	"55-64 years"	"55-64"	26
	"Hardin County, TX"	"48199"	"65-74 years"	"65-74"	57
	"Harris County, TX"	"48201"	"35-44 years"	"35-44"	280
	"Harris County, TX"	"48201"	"45-54 years"	"45-54"	570
	"Harris County, TX"	"48201"	"55-64 years"	"55-64"	1201
	"Harris County, TX"	"48201"	"65-74 years"	"65-74"	1922
	"Harrison County, TX"	"48203"	"45-54 years"	"45-54"	13
	"Harrison County, TX"	"48203"	"55-64 years"	"55-64"	28
	"Harrison County, TX"	"48203"	"65-74 years"	"65-74"	47
	"Hays County, TX"	"48209"	"45-54 years"	"45-54"	26
	"Hays County, TX"	"48209"	"55-64 years"	"55-64"	47
	"Hays County, TX"	"48209"	"65-74 years"	"65-74"	83
	"Henderson County, TX"	"48213"	"45-54 years"	"45-54"	14
	"Henderson County, TX"	"48213"	"55-64 years"	"55-64"	51
	"Henderson County, TX"	"48213"	"65-74 years"	"65-74"	87
	"Hidalgo County, TX"	"48215"	"35-44 years"	"35-44"	49
	"Hidalgo County, TX"	"48215"	"45-54 years"	"45-54"	119
	"Hidalgo County, TX"	"48215"	"55-64 years"	"55-64"	249
	"Hidalgo County, TX"	"48215"	"65-74 years"	"65-74"	324
	"Hill County, TX"	"48217"	"55-64 years"	"55-64"	24
	"Hill County, TX"	"48217"	"65-74 years"	"65-74"	40
	"Hockley County, TX"	"48219"	"65-74 years"	"65-74"	25
	"Hood County, TX"	"48221"	"55-64 years"	"55-64"	24
	"Hood County, TX"	"48221"	"65-74 years"	"65-74"	62
	"Hopkins County, TX"	"48223"	"55-64 years"	"55-64"	17
	"Hopkins County, TX"	"48223"	"65-74 years"	"65-74"	37
	"Houston County, TX"	"48225"	"55-64 years"	"55-64"	19
	"Houston County, TX"	"48225"	"65-74 years"	"65-74"	31
	"Howard County, TX"	"48227"	"55-64 years"	"55-64"	17
	"Howard County, TX"	"48227"	"65-74 years"	"65-74"	21
	"Hunt County, TX"	"48231"	"45-54 years"	"45-54"	21
	"Hunt County, TX"	"48231"	"55-64 years"	"55-64"	51
	"Hunt County, TX"	"48231"	"65-74 years"	"65-74"	95
	"Hutchinson County, TX"	"48233"	"55-64 years"	"55-64"	13
	"Hutchinson County, TX"	"48233"	"65-74 years"	"65-74"	22
	"Jasper County, TX"	"48241"	"55-64 years"	"55-64"	14
	"Jasper County, TX"	"48241"	"65-74 years"	"65-74"	41
	"Jefferson County, TX"	"48245"	"35-44 years"	"35-44"	24
	"Jefferson County, TX"	"48245"	"45-54 years"	"45-54"	48
	"Jefferson County, TX"	"48245"	"55-64 years"	"55-64"	135
	"Jefferson County, TX"	"48245"	"65-74 years"	"65-74"	189
	"Jim Wells County, TX"	"48249"	"45-54 years"	"45-54"	12
	"Jim Wells County, TX"	"48249"	"55-64 years"	"55-64"	21
	"Jim Wells County, TX"	"48249"	"65-74 years"	"65-74"	26
	"Johnson County, TX"	"48251"	"45-54 years"	"45-54"	21
	"Johnson County, TX"	"48251"	"55-64 years"	"55-64"	64
	"Johnson County, TX"	"48251"	"65-74 years"	"65-74"	136
	"Jones County, TX"	"48253"	"55-64 years"	"55-64"	10
	"Jones County, TX"	"48253"	"65-74 years"	"65-74"	11
	"Kaufman County, TX"	"48257"	"45-54 years"	"45-54"	25
	"Kaufman County, TX"	"48257"	"55-64 years"	"55-64"	51
	"Kaufman County, TX"	"48257"	"65-74 years"	"65-74"	103
	"Kendall County, TX"	"48259"	"55-64 years"	"55-64"	16
	"Kendall County, TX"	"48259"	"65-74 years"	"65-74"	22
	"Kerr County, TX"	"48265"	"55-64 years"	"55-64"	22
	"Kerr County, TX"	"48265"	"65-74 years"	"65-74"	49
	"Kleberg County, TX"	"48273"	"65-74 years"	"65-74"	13
	"Lamar County, TX"	"48277"	"45-54 years"	"45-54"	14
	"Lamar County, TX"	"48277"	"55-64 years"	"55-64"	24
	"Lamar County, TX"	"48277"	"65-74 years"	"65-74"	44
	"Lampasas County, TX"	"48281"	"65-74 years"	"65-74"	12
	"Lavaca County, TX"	"48285"	"55-64 years"	"55-64"	11
	"Lavaca County, TX"	"48285"	"65-74 years"	"65-74"	15
	"Lee County, TX"	"48287"	"55-64 years"	"55-64"	10
	"Lee County, TX"	"48287"	"65-74 years"	"65-74"	13
	"Leon County, TX"	"48289"	"55-64 years"	"55-64"	11
	"Leon County, TX"	"48289"	"65-74 years"	"65-74"	18
	"Liberty County, TX"	"48291"	"45-54 years"	"45-54"	18
	"Liberty County, TX"	"48291"	"55-64 years"	"55-64"	52
	"Liberty County, TX"	"48291"	"65-74 years"	"65-74"	89
	"Limestone County, TX"	"48293"	"65-74 years"	"65-74"	26
	"Llano County, TX"	"48299"	"55-64 years"	"55-64"	11
	"Llano County, TX"	"48299"	"65-74 years"	"65-74"	25
	"Lubbock County, TX"	"48303"	"35-44 years"	"35-44"	20
	"Lubbock County, TX"	"48303"	"45-54 years"	"45-54"	44
	"Lubbock County, TX"	"48303"	"55-64 years"	"55-64"	107
	"Lubbock County, TX"	"48303"	"65-74 years"	"65-74"	187
	"McLennan County, TX"	"48309"	"35-44 years"	"35-44"	11
	"McLennan County, TX"	"48309"	"45-54 years"	"45-54"	44
	"McLennan County, TX"	"48309"	"55-64 years"	"55-64"	103
	"McLennan County, TX"	"48309"	"65-74 years"	"65-74"	192
	"Madison County, TX"	"48313"	"65-74 years"	"65-74"	12
	"Marion County, TX"	"48315"	"65-74 years"	"65-74"	12
	"Matagorda County, TX"	"48321"	"55-64 years"	"55-64"	17
	"Matagorda County, TX"	"48321"	"65-74 years"	"65-74"	27
	"Maverick County, TX"	"48323"	"55-64 years"	"55-64"	15
	"Maverick County, TX"	"48323"	"65-74 years"	"65-74"	38
	"Medina County, TX"	"48325"	"45-54 years"	"45-54"	14
	"Medina County, TX"	"48325"	"55-64 years"	"55-64"	29
	"Medina County, TX"	"48325"	"65-74 years"	"65-74"	35
	"Midland County, TX"	"48329"	"45-54 years"	"45-54"	25
	"Midland County, TX"	"48329"	"55-64 years"	"55-64"	54
	"Midland County, TX"	"48329"	"65-74 years"	"65-74"	66
	"Milam County, TX"	"48331"	"55-64 years"	"55-64"	16
	"Milam County, TX"	"48331"	"65-74 years"	"65-74"	21
	"Montague County, TX"	"48337"	"55-64 years"	"55-64"	12
	"Montague County, TX"	"48337"	"65-74 years"	"65-74"	31
	"Montgomery County, TX"	"48339"	"35-44 years"	"35-44"	20
	"Montgomery County, TX"	"48339"	"45-54 years"	"45-54"	76
	"Montgomery County, TX"	"48339"	"55-64 years"	"55-64"	168
	"Montgomery County, TX"	"48339"	"65-74 years"	"65-74"	321
	"Morris County, TX"	"48343"	"55-64 years"	"55-64"	10
	"Morris County, TX"	"48343"	"65-74 years"	"65-74"	17
	"Nacogdoches County, TX"	"48347"	"45-54 years"	"45-54"	15
	"Nacogdoches County, TX"	"48347"	"55-64 years"	"55-64"	26
	"Nacogdoches County, TX"	"48347"	"65-74 years"	"65-74"	49
	"Navarro County, TX"	"48349"	"45-54 years"	"45-54"	17
	"Navarro County, TX"	"48349"	"55-64 years"	"55-64"	28
	"Navarro County, TX"	"48349"	"65-74 years"	"65-74"	41
	"Newton County, TX"	"48351"	"55-64 years"	"55-64"	10
	"Nolan County, TX"	"48353"	"65-74 years"	"65-74"	12
	"Nueces County, TX"	"48355"	"35-44 years"	"35-44"	19
	"Nueces County, TX"	"48355"	"45-54 years"	"45-54"	64
	"Nueces County, TX"	"48355"	"55-64 years"	"55-64"	138
	"Nueces County, TX"	"48355"	"65-74 years"	"65-74"	203
	"Orange County, TX"	"48361"	"45-54 years"	"45-54"	15
	"Orange County, TX"	"48361"	"55-64 years"	"55-64"	46
	"Orange County, TX"	"48361"	"65-74 years"	"65-74"	73
	"Palo Pinto County, TX"	"48363"	"55-64 years"	"55-64"	23
	"Palo Pinto County, TX"	"48363"	"65-74 years"	"65-74"	47
	"Panola County, TX"	"48365"	"55-64 years"	"55-64"	16
	"Panola County, TX"	"48365"	"65-74 years"	"65-74"	17
	"Parker County, TX"	"48367"	"45-54 years"	"45-54"	16
	"Parker County, TX"	"48367"	"55-64 years"	"55-64"	37
	"Parker County, TX"	"48367"	"65-74 years"	"65-74"	95
	"Polk County, TX"	"48373"	"55-64 years"	"55-64"	37
	"Polk County, TX"	"48373"	"65-74 years"	"65-74"	49
	"Potter County, TX"	"48375"	"35-44 years"	"35-44"	10
	"Potter County, TX"	"48375"	"45-54 years"	"45-54"	21
	"Potter County, TX"	"48375"	"55-64 years"	"55-64"	65
	"Potter County, TX"	"48375"	"65-74 years"	"65-74"	109
	"Randall County, TX"	"48381"	"45-54 years"	"45-54"	21
	"Randall County, TX"	"48381"	"55-64 years"	"55-64"	53
	"Randall County, TX"	"48381"	"65-74 years"	"65-74"	89
	"Red River County, TX"	"48387"	"55-64 years"	"55-64"	11
	"Red River County, TX"	"48387"	"65-74 years"	"65-74"	17
	"Reeves County, TX"	"48389"	"65-74 years"	"65-74"	12
	"Robertson County, TX"	"48395"	"65-74 years"	"65-74"	20
	"Rockwall County, TX"	"48397"	"55-64 years"	"55-64"	27
	"Rockwall County, TX"	"48397"	"65-74 years"	"65-74"	41
	"Rusk County, TX"	"48401"	"55-64 years"	"55-64"	24
	"Rusk County, TX"	"48401"	"65-74 years"	"65-74"	42
	"Sabine County, TX"	"48403"	"55-64 years"	"55-64"	11
	"Sabine County, TX"	"48403"	"65-74 years"	"65-74"	15
	"San Augustine County, TX"	"48405"	"65-74 years"	"65-74"	12
